"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
279784-2025,"30/04/2025 (UTC+02)","Belgium – Child daycare services – Réservation et occupation de places en crèches autorisées et/ou agréées à Bruxelles (existantes ou à créer)","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,,,LOT-0002,,"Not Awarded",," "," ",
279951-2025,"30/04/2025 (UTC+02)","Belgium – Child daycare services – Réservation et occupation de places en crèches autorisées et/ou agréées à Bruxelles (existantes ou à créer)","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,,,LOT-0001,,"Not Awarded",," "," ",
280288-2025,"30/04/2025 (UTC+02)","Belgium – Child daycare services – Réservation et occupation de places en crèches autorisées et/ou agréées à Bruxelles (existantes ou à créer)","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,,,LOT-0006,,"Not Awarded",," "," ",
280505-2025,"30/04/2025 (UTC+02)","Belgium – Child daycare services – Réservation et occupation de places en crèches autorisées et/ou agréées à Bruxelles (existantes ou à créer)","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,,,LOT-0005,,"Not Awarded",," "," ",
282850-2025,"02/05/2025 (UTC+02)","Belgium – Market research services – Study to assess the feasibility of a central registry of Text and Data Mining opt-out expressed by rightsholders","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,4500095823,,LOT-0001,,"CAPGEMINI ESPANA SL---VISIONARY ANALYTICS UAB",," "," ",
285089-2025,"02/05/2025 (UTC+02)","Belgium, Finland – Portfolio management services – IP portfolio management","European Commission, DG JRC - Joint Research Centre, European Chemicals Agency",Open,,CCR.462,,LOT-0001,,"De Tullio & Partners Srl---Deloitte Legal Società tra Avvocati a Responsabilità Limitata Società Benefit",," "," ",
285978-2025,"05/05/2025 (UTC+02)","Belgium – Business and management consultancy services – Study on strengthening the role of substitution planning in the context of REACH and other EU chemicals legislation","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,SI2.908785,,LOT-0001,,"AIR QUALITY CONSULTANTS LTD",," "," ",
286412-2025,"05/05/2025 (UTC+02)","Belgium – Feasibility study – Technical studies to support the inclusion of new materials and microorganisms under the Fertilising Products Regulation","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,SI2.905871,,LOT-0001,,"AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH",," "," ",
287828-2025,"05/05/2025 (UTC+02)","Belgium – Feasibility study – Technical studies to support the inclusion of new materials and microorganisms under the Fertilising Products Regulation","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,SI2.905966,,LOT-0002,,"NUTRIENTEN MANAGEMENT INSTITUUT NMIBV",," "," ",
290180-2025,"06/05/2025 (UTC+02)","Belgium – Other community, social and personal services – EU One Stop Shop Supporting Green Line Trade & Businesses","European Commission, REGIO - Regional and Urban Policy",Restricted,,2025/483-587,,LOT-0001,,"NIRAS IC SP ZOO",," "," ",
290637-2025,"06/05/2025 (UTC+02)","Germany – Repair and maintenance services of measuring apparatus – Serviceleistungen und Ersatzteile für Massenspektrometersysteme von ThermoFisher","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated without prior call for competition",,947283,,LOT-0001,,"THERMO FISHER SCIENTIFIC GMBH",," "," ",
291291-2025,"07/05/2025 (UTC+02)","Belgium – Research and development services and related consultancy services – Production and use of advanced materials","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,300117213,,LOT-0001,,"EY ECONOMIC AND POLICY ADVISORY SERVICES SRL",," "," ",
292065-2025,"07/05/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Secure operations of TAXUD central and distributed Information Systems (TAXUD-OPS)","European Commission, DG TAXUD - Taxation and Customs Union",Open,,2025/CC/180,,LOT-0003,,"NTT DATA BELGIQUE---NTT BELGIUM",," "," ",
295426-2025,"08/05/2025 (UTC+02)","Belgium – Desktop computer – DPS ITS Competition 12","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,DI-08240,,LOT-0001,,"ARKTIS IT SOLUTIONS GMBH",," "," ",
298359-2025,"12/05/2025 (UTC+02)","Belgium – Museum-exhibition services – Europa Experience Floor Staff - Greece","European Parliament, COMM - Directorate-General for Communication, EC - European Commission",Open,,"COMM/LO-GR_ATH/FWC/2025/5",,LOT-0001,,"CIVITTA EESTI AS---KSM OUTSOURCING SOLUTIONS SA",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_07","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"Panteia B.V.---empirica Gesellschaft für Kommunikations- und Technologieforschung mbH---Deloitte Consulting and Advisory BV.---Oxford Research AB---IDEA Strategische Economische Consulting",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_04","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"Milieu Consulting Official---Fondazione Giacomo Brodolini S.r.l. SB---Ramboll Management Consulting SA/NV",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_03","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"RAND Europe Community Interest Company---EY Advisory spa---Istituto per la Ricerca Sociale soc.coop.",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_06","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"ICF S.A.---ICF Consulting Services Limited---Applica SRL---Open Evidence SL---Ismeri Europa Srl - Istituto di Ricerca Interdisciplinare",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_05","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"Technopolis Consulting Group Belgium---IPSOS NV---Centre for Strategy & Evaluation Services (Europe) Limited---Prognos AG---Visionary Analytics, UAB---ZEW - Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH Mannheim",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_02","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"PPMI Group, UAB---Verian Group Belgium SA---Cambridge Econometrics (Belgium) BV",," "," ",
298685-2025,"12/05/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion","European Commission, DG EMPL - Employment, Social Affairs and Inclusion",Open,"no, no, no, no, no, no, no","EMPL EVAL_2025_01","Multiple Framework Contracts for the provision of services in relation to impact assessment, evaluation and monitoring, in the field of employment, skills, social affairs and inclusion",LOT-0001,,"Ecorys Europe EEIG-GEIE---Katholieke Universiteit Leuven---Spark Legal and Policy Consulting BV---3s Unternehmensberatung GmbH---wmp consult - Wilke Maack GmbH",," "," ",
300256-2025,"12/05/2025 (UTC+02)","Romania, Belgium – Guard services – Security Guard and Reception Services for the EUROPEAN COMMISSION Representation, the EUROPEAN PARLIAMENT Liaison Office and the EUROPEAN CYBERSECURITY AND COMPETENCES CENTER in Bucharest","European Commission, DG COMM - Communication, EP - European Parliament, European Cybersecurity Industrial, Technology and Research Competence Centre",Restricted,,EC-COMM/BUH/2024/RP/0283,,LOT-0001,,"RPG SECURITY CENTER",," "," ",
302382-2025,"13/05/2025 (UTC+02)","Germany – Surveillance system – Durchführung von Hard – Software Upgrade GVMS Siemens Topsis im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated without prior call for competition",,300117989,,LOT-0001,,"Siemens AG",," "," ",
306737-2025,"13/05/2025 (UTC+02)","Belgium – Health and social work services – Dental officer services for the European Union’s Joint Sickness Insurance Scheme (JSIS)","European Commission, PMO - Office for the Administration and Payment of Individual Entitlements",Open,,EC-PMO/2024/OP/0011,,LOT-0001,,"Tandartskabinet verdi---SOKOL EDMOND---ERNST René---Marco Landi",," "," ",
308224-2025,"14/05/2025 (UTC+02)","Belgium – Medical equipments – Provision of Medical equipment for Civilian CSDP Missions, European Union Special Representatives and other CFSP-funded entities.","European Commission, FPI - Service for Foreign Policy Instruments",Open,,,,LOT-0002,,"Not Awarded",," "," ",
308641-2025,"14/05/2025 (UTC+02)","Netherlands – Nuclear safety services – NL-Petten: Topical studies on nuclear power plants operating experience","European Commission, DG JRC - Joint Research Centre",Open,,CCR.466,,LOT-0001,,"GESELLSCHAFT FUR ANLAGEN UND REAKTORSICHERHEIT (GRS) gGmbH---INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE---REGIA AUTONOMA TEHNOLOGII PENTRU ENERGIA NUCLEARA - RATEN",," "," ",
310966-2025,"14/05/2025 (UTC+02)","Belgium – Medical equipments – Provision of Medical equipment for Civilian CSDP Missions, European Union Special Representatives and other CFSP-funded entities.","European Commission, FPI - Service for Foreign Policy Instruments",Open,,,,LOT-0001,,"Not Awarded",," "," ",
311561-2025,"15/05/2025 (UTC+02)","South Africa – Development consultancy services – NDICI Cooperation Facility Economics","European Commission, INTPA - International Partnerships",Restricted,,460596,,LOT-0001,,"LANDELL MILLS INTERNATIONAL LIMITED---Imani Development (South Africa) (Pty) Ltd",," "," ",
312699-2025,"15/05/2025 (UTC+02)","Belgium – Legal advisory and information services – Legal advice for the Welcome Offices of the European Commission (6 lots)","European Commission, DG HR - Human Resources and Security",Open,,EC-HR/2024/OP/0190,,LOT-0005,,"MULLER, WOERNLE & NEUMANN RECHTSANWALTE",," "," ",
317259-2025,"16/05/2025 (UTC+02)","Kenya, Belgium – Security services – Security Services framework contract – EU Delegation to Kenya","European External Action Service (EEAS), European Commission, DG ECHO - European Civil Protection and Humanitarian Aid Operations (ECHO)","Negotiated with prior publication of a call for competition / competitive with negotiation",,"EEAS/DELKENN/2024/CPN/0055-2025",,LOT-0001,,"Securex Agencies (Kenya) Limited---AMARANTE INTERNATIONAL",," "," ",
